id,name,type,region,fips,visitors,acreage,latitude,longitude
ACAD,Acadia National Park,NP,NER,23,3537575,49077,44.350000,-68.283330
ARCH,Arches National Park,NP,IMR,49,1663557,76679,38.708330,-109.562500
BADL,Badlands National Park,NP,MWR,46,1008942,242756,43.625280,-102.875280
BIBE,Big Bend National Park,NP,IMR,48,440091,801163,29.250000,-103.250000
BISC,Biscayne National Park,NP,SER,12,469253,172971,25.643610,-80.166670
BLCA,Black Canyon Of The Gunnison National Park,NP,IMR,8,308962,30780,38.581670,-107.720830
BRCA,Bryce Canyon National Park,NP,IMR,49,2679478,35835,37.583330,-112.216670
CANY,Canyonlands National Park,NP,IMR,49,739449,337598,38.166670,-109.983330
CARE,Capitol Reef National Park,NP,IMR,49,1227627,241905,38.150000,-111.166670
CAVE,Carlsbad Caverns National Park,NP,IMR,35,465912,46766,32.175280,-104.443330
CHIS,Channel Islands National Park,NP,PWR,6,366250,249561,34.004170,-119.396390
CONG,Congaree National Park,NP,SER,45,145929,26476,33.799790,-80.788500
CRLA,Crater Lake National Park,NP,PWR,41,720659,183224,42.941670,-122.150000
CUVA,Cuyahoga Valley National Park,NP,MWR,39,2096053,32572,41.241670,-81.550000
DEVA,Death Valley National Park,NP,PWR,6|32,1678660,3408407,36.483330,-117.100000
DENA,Denali National Park and Preserve,NP,AKR,2,594660,6075029,63.324400,-150.925600
DRTO,Dry Tortugas National Park,NP,SER,12,56810,64701,24.628610,-82.873330
EVER,Everglades National Park,NP,SER,12,597124,1508939,25.312500,-80.937500
GAAR,Gates Of The Arctic National Park and Preserve,NP,AKR,2,9591,8472506,68.136700,-151.857800
JEFF,Gateway Arch National Park,NP,MWR,29|17,2016180,193,38.630000,-90.190000
GLBA,Glacier Bay National Park and Preserve,NP,AKR,2,597915,3281789,58.686100,-136.606100
GLAC,Glacier National Park,NP,IMR,30,2965309,1013126,48.696110,-113.806110
GRCA,Grand Canyon National Park,NP,IMR,4,6380495,1201647,36.055560,-112.138890
GRTE,Grand Teton National Park,NP,IMR,56,3491151,310044,43.833330,-110.700000
GRBA,Great Basin National Park,NP,PWR,32,153094,77180,38.935000,-114.243610
GRSA,Great Sand Dunes National Park and Preserve,NP,IMR,8,442905,149028,37.730000,-105.510000
GRSM,Great Smoky Mountains National Park,NP,SER,47|37,11421200,522427,35.583330,-83.500000
GUMO,Guadalupe Mountains National Park,NP,IMR,48,172347,86367,31.900000,-104.866670
HALE,Haleakala National Park,NP,PWR,15,1044084,33265,20.720000,-156.170000
HAVO,Hawai`i Volcanoes National Park,NP,PWR,15,1116891,325605,19.380000,-155.200000
HOSP,Hot Springs National Park,NP,MWR,5,1506887,5554,34.516670,-93.052780
INDU,Indiana Dunes National Park,NP,MWR,18,1756079,15349,41.653300,-87.052400
ISRO,Isle Royale National Park,NP,MWR,26,25798,571790,48.000280,-88.833610
JOTR,Joshua Tree National Park,NP,PWR,6,2942382,795156,33.916670,-115.916670
KATM,Katmai National Park and Preserve,NP,AKR,2,37818,4093228,58.808100,-155.328600
KEFJ,Kenai Fjords National Park,NP,AKR,2,321596,669650,59.815800,-150.108100
SEKI,Kings Canyon National Park,NP,PWR,6,699023,461901,36.800000,-118.550000
KOVA,Kobuk Valley National Park,NP,AKR,2,14937,1750716,67.390800,-159.225800
LACL,Lake Clark National Park and Preserve,NP,AKR,2,14479,4030110,60.330300,-152.999200
LAVO,Lassen Volcanic National Park,NP,PWR,6,499435,106589,40.481110,-121.382220
MACA,Mammoth Cave National Park,NP,SER,21,533206,54012,37.183330,-86.150000
MEVE,Mesa Verde National Park,NP,IMR,8,563420,52485,37.233330,-108.479170
MORA,Mount Rainier National Park,NP,PWR,53,1518491,236382,46.883330,-121.883330
NPSA,National Park of American Samoa,NP,PWR,60,28626,8257,-14.250000,-170.680000
NPNH,National Parks of New York Harbor,NP,NER,36,12000000,27000,40.689167,-74.044444
NOCA,North Cascades National Park,NP,PWR,53,30085,504781,48.666670,-121.250280
OLYM,Olympic National Park,NP,PWR,53,3104455,922649,48.266670,-124.675000
PEFO,Petrified Forest National Park,NP,IMR,4,644922,221390,35.088060,-109.805830
PINN,Pinnacles National Park,NP,PWR,6,222152,26686,36.480000,-121.160000
REDW,Redwood National Park,NP,PWR,6,482536,138999,41.766110,-124.046670
ROMO,Rocky Mountain National Park,NP,IMR,8,4590493,265807,40.266670,-105.837220
SAGU,Saguaro National Park,NP,IMR,4,957405,91716,32.278610,-111.181940
SEKI,Sequoia National Park,NP,PWR,6,1229594,404063,36.575560,-118.562500
SHEN,Shenandoah National Park,NP,NER,51,1264880,199224,38.500560,-78.450000
THRO,Theodore Roosevelt National Park,NP,MWR,38,749389,70447,46.970000,-103.450000
VIIS,Virgin Islands National Park,NP,SER,78,112287,14945,18.330000,-64.730000
VOYA,Voyageurs National Park,NP,MWR,27,239656,218222,48.500280,-92.833330
WICA,Wind Cave National Park,NP,MWR,46,656397,33971,43.581110,-103.414440
WOTR,Wolf Trap National Park for the Performing Arts,NP,NCR,51,365540,130,38.938330,-77.265000
WRST,Wrangell - St Elias National Park and Preserve,NP,AKR,2,79450,13175791,61.925800,-143.901700
YELL,Yellowstone National Park,NP,IMR,16|30|56,4115000,2219791,44.708682,-110.540314
YOSE,Yosemite National Park,NP,PWR,6,4009436,761748,37.850000,-119.566670
ZION,Zion National Park,NP,IMR,49,4320033,147243,37.300000,-113.050000
